{'x': 6.12, 'y': 10.98, 't': 1649401793.0072594}
{'x': 6.13, 'y': 11.07, 't': 1649401793.10709}
{'x': 6.14, 'y': 11.15, 't': 1649401793.2068524}
{'x': 6.16, 'y': 11.22, 't': 1649401793.3074393}
{'x': 6.16, 'y': 11.27, 't': 1649401793.406353}
{'x': 6.18, 'y': 11.34, 't': 1649401793.5091507}
{'x': 6.2, 'y': 11.42, 't': 1649401793.605376}
{'x': 6.22, 'y': 11.48, 't': 1649401793.7060642}
{'x': 6.22, 'y': 11.53, 't': 1649401793.8065815}
{'x': 6.23, 'y': 11.61, 't': 1649401793.9070392}
{'x': 6.25, 'y': 11.75, 't': 1649401794.0065522}
{'x': 6.24, 'y': 11.82, 't': 1649401794.3065443}
{'x': 6.24, 'y': 11.87, 't': 1649401794.4074163}
{'x': 6.23, 'y': 11.92, 't': 1649401794.5007877}
{'x': 6.22, 'y': 11.99, 't': 1649401794.6065087}
{'x': 6.2, 'y': 12.07, 't': 1649401794.7070074}
{'x': 6.19, 'y': 12.16, 't': 1649401794.806424}
{'x': 6.18, 'y': 12.24, 't': 1649401794.9074955}
{'x': 6.18, 'y': 12.33, 't': 1649401795.0074577}
{'x': 6.16, 'y': 12.42, 't': 1649401795.1089652}
{'x': 6.16, 'y': 12.51, 't': 1649401795.2070673}
{'x': 6.15, 'y': 12.62, 't': 1649401795.3084784}
{'x': 6.17, 'y': 12.73, 't': 1649401795.409386}
{'x': 6.13, 'y': 12.92, 't': 1649401795.506822}
{'x': 6.14, 'y': 13.15, 't': 1649401795.7073698}
{'x': 6.1, 'y': 13.44, 't': 1649401795.9064622}
{'x': 6.1, 'y': 13.56, 't': 1649401796.2074049}
{'x': 6.09, 'y': 13.68, 't': 1649401796.3065853}
{'x': 6.07, 'y': 13.76, 't': 1649401796.4063995}
{'x': 6.06, 'y': 13.87, 't': 1649401796.5061593}
{'x': 6.06, 'y': 13.98, 't': 1649401796.607258}
{'x': 6.06, 'y': 14.09, 't': 1649401796.707514}
{'x': 6.04, 'y': 14.19, 't': 1649401796.807173}
{'x': 6.03, 'y': 14.4, 't': 1649401796.9091225}
{'x': 6.0, 'y': 14.49, 't': 1649401797.1074257}
{'x': 5.98, 'y': 14.59, 't': 1649401797.2068512}
{'x': 5.96, 'y': 14.7, 't': 1649401797.3074467}
{'x': 5.95, 'y': 14.79, 't': 1649401797.4060614}
{'x': 5.93, 'y': 14.92, 't': 1649401797.506904}
{'x': 5.91, 'y': 15.03, 't': 1649401797.6064038}
{'x': 5.89, 'y': 15.13, 't': 1649401797.7074227}
{'x': 5.87, 'y': 15.24, 't': 1649401797.8015134}
{'x': 5.83, 'y': 15.32, 't': 1649401797.9073534}
{'x': 5.82, 'y': 15.44, 't': 1649401798.007399}
{'x': 5.79, 'y': 15.55, 't': 1649401798.1064165}
{'x': 5.77, 'y': 15.66, 't': 1649401798.2003343}
{'x': 5.75, 'y': 15.76, 't': 1649401798.3067594}
{'x': 5.72, 'y': 15.87, 't': 1649401798.4004369}
{'x': 5.68, 'y': 15.97, 't': 1649401798.508789}
{'x': 5.68, 'y': 16.1, 't': 1649401798.6073089}
{'x': 5.66, 'y': 16.21, 't': 1649401798.7059364}
{'x': 5.63, 'y': 16.31, 't': 1649401798.8056514}
{'x': 5.62, 'y': 16.42, 't': 1649401798.9060724}
{'x': 5.62, 'y': 16.53, 't': 1649401799.007367}
{'x': 5.62, 'y': 16.65, 't': 1649401799.1073895}
{'x': 5.63, 'y': 16.77, 't': 1649401799.2054195}
{'x': 5.62, 'y': 16.86, 't': 1649401799.3063676}
{'x': 5.61, 'y': 16.99, 't': 1649401799.4051805}
{'x': 5.58, 'y': 17.09, 't': 1649401799.506377}
{'x': 5.58, 'y': 17.2, 't': 1649401799.6054327}
{'x': 5.57, 'y': 17.33, 't': 1649401799.7055206}
{'x': 5.56, 'y': 17.44, 't': 1649401799.8047647}
{'x': 5.52, 'y': 17.56, 't': 1649401799.900497}
{'x': 5.48, 'y': 17.69, 't': 1649401800.0054946}
{'x': 5.45, 'y': 17.8, 't': 1649401800.1063874}
{'x': 5.41, 'y': 17.92, 't': 1649401800.2073686}
{'x': 5.38, 'y': 18.02, 't': 1649401800.3073971}
{'x': 5.35, 'y': 18.12, 't': 1649401800.4080732}
{'x': 5.32, 'y': 18.18, 't': 1649401800.5073655}
{'x': 5.31, 'y': 18.31, 't': 1649401800.6073709}
{'x': 5.28, 'y': 18.44, 't': 1649401800.7094805}
{'x': 5.26, 'y': 18.56, 't': 1649401800.800226}
{'x': 5.24, 'y': 18.66, 't': 1649401800.9074655}
{'x': 5.2, 'y': 18.78, 't': 1649401801.007382}
{'x': 5.17, 'y': 18.88, 't': 1649401801.1073077}
{'x': 5.14, 'y': 18.99, 't': 1649401801.2073994}
{'x': 5.1, 'y': 19.1, 't': 1649401801.3083274}
{'x': 5.06, 'y': 19.22, 't': 1649401801.4003217}
{'x': 5.05, 'y': 19.33, 't': 1649401801.5074317}
{'x': 5.03, 'y': 19.44, 't': 1649401801.6081057}
{'x': 5.01, 'y': 19.54, 't': 1649401801.706564}
{'x': 4.99, 'y': 19.66, 't': 1649401801.8094597}
{'x': 4.97, 'y': 19.78, 't': 1649401801.907593}
{'x': 4.95, 'y': 19.86, 't': 1649401802.0071976}
{'x': 4.94, 'y': 19.99, 't': 1649401802.1065295}
{'x': 4.92, 'y': 20.12, 't': 1649401802.207355}
{'x': 4.89, 'y': 20.26, 't': 1649401802.3073895}
{'x': 4.86, 'y': 20.48, 't': 1649401802.407378}
{'x': 4.83, 'y': 20.5, 't': 1649401802.5065832}
{'x': 4.81, 'y': 20.54, 't': 1649401802.607035}
{'x': 4.8, 'y': 20.62, 't': 1649401802.7074833}
{'x': 4.78, 'y': 20.7, 't': 1649401802.8073614}
{'x': 4.75, 'y': 20.78, 't': 1649401802.9075}
{'x': 4.74, 'y': 20.9, 't': 1649401803.0069883}
{'x': 4.73, 'y': 20.99, 't': 1649401803.1062613}
{'x': 4.7, 'y': 21.07, 't': 1649401803.2073932}
{'x': 4.69, 'y': 21.18, 't': 1649401803.3064406}
{'x': 4.68, 'y': 21.29, 't': 1649401803.4075024}
{'x': 4.62, 'y': 21.49, 't': 1649401803.5082924}
{'x': 4.6, 'y': 21.63, 't': 1649401803.605404}
{'x': 4.49, 'y': 21.77, 't': 1649401803.709388}
{'x': 4.42, 'y': 21.9, 't': 1649401803.8074787}
{'x': 4.46, 'y': 21.97, 't': 1649401803.906106}
{'x': 4.47, 'y': 22.02, 't': 1649401804.0078523}
{'x': 4.46, 'y': 22.04, 't': 1649401804.1073544}
{'x': 4.48, 'y': 22.1, 't': 1649401804.208367}
{'x': 4.49, 'y': 22.23, 't': 1649401804.3064284}
{'x': 4.48, 'y': 22.36, 't': 1649401804.4082115}
{'x': 4.48, 'y': 22.48, 't': 1649401804.507515}
{'x': 4.48, 'y': 22.56, 't': 1649401804.600083}
{'x': 4.47, 'y': 22.53, 't': 1649401804.7035193}
{'x': 4.48, 'y': 22.54, 't': 1649401804.8073444}
{'x': 4.49, 'y': 22.57, 't': 1649401804.90819}
{'x': 4.49, 'y': 22.64, 't': 1649401805.0003536}
