{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543259.815301, 'imu': 85.54740905761719}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543260.0053024, 'imu': 85.54734802246094}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543260.1752946, 'imu': 85.54741668701172}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543260.3553174, 'imu': 85.54741668701172}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543260.5251956, 'imu': 85.54735565185547}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543260.7052183, 'imu': 85.54741668701172}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 683.5294117647059, 'lb': 1016.6166916541729, 'time': 1645543260.8752234, 'imu': 85.54761505126953}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543261.055242, 'imu': 85.54754638671875}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543261.235271, 'imu': 85.54769134521484}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543261.4056287, 'imu': 85.5475845336914}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543261.5752609, 'imu': 85.54773712158203}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543261.7452736, 'imu': 85.54759979248047}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543261.9153209, 'imu': 85.54765319824219}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543262.0856807, 'imu': 85.547607421875}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543262.2651927, 'imu': 85.54755401611328}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543262.4453351, 'imu': 85.54776000976562}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543262.6252098, 'imu': 85.54766082763672}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543262.8057313, 'imu': 85.5477066040039}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543262.9857254, 'imu': 85.54784393310547}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543263.1552436, 'imu': 85.54788208007812}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543263.325243, 'imu': 85.54795837402344}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543263.4952676, 'imu': 85.54801177978516}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543263.6653082, 'imu': 85.5480728149414}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543263.8353193, 'imu': 85.54803466796875}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543264.0053227, 'imu': 85.54795837402344}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543264.1753428, 'imu': 85.54798126220703}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543264.3452206, 'imu': 85.54779052734375}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543264.525229, 'imu': 85.54774475097656}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543264.7054327, 'imu': 85.54771423339844}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543264.8952823, 'imu': 85.54768371582031}
{'lf': 750.6958250497017, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543265.0653205, 'imu': 85.54767608642578}
{'lf': 750.6958250497017, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543265.2352803, 'imu': 85.54781341552734}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543265.4053226, 'imu': 85.54779815673828}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543265.5753179, 'imu': 85.54771423339844}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543265.7453523, 'imu': 85.54779815673828}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543265.9152887, 'imu': 85.54791259765625}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543266.0851834, 'imu': 85.5480728149414}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543266.2551978, 'imu': 85.54811096191406}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543266.425187, 'imu': 85.54820251464844}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543266.595283, 'imu': 85.548095703125}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543266.7651837, 'imu': 85.54823303222656}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543266.9352243, 'imu': 85.54826354980469}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543267.1052406, 'imu': 85.54815673828125}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543267.2752368, 'imu': 85.5480728149414}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543267.4453373, 'imu': 85.548095703125}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543267.6153913, 'imu': 85.54804229736328}
{'lf': 750.6958250497017, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543267.7851489, 'imu': 85.5479507446289}
{'lf': 287.02783300198803, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543267.9551828, 'imu': 85.54783630371094}
{'lf': 152.46023856858847, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543268.1251805, 'imu': 85.54780578613281}
{'lf': 265.78031809145125, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543268.295159, 'imu': 85.5478515625}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543268.4652514, 'imu': 85.54783630371094}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543268.6351774, 'imu': 85.54780578613281}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543268.8051825, 'imu': 85.54779052734375}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543268.9751992, 'imu': 85.54783630371094}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543269.145207, 'imu': 85.5477066040039}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 683.5294117647059, 'lb': 1016.6166916541729, 'time': 1645543269.3153443, 'imu': 85.5472640991211}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543269.4851499, 'imu': 85.54721069335938}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543269.6553977, 'imu': 85.54729461669922}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543269.8251479, 'imu': 85.54743194580078}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543269.9952018, 'imu': 85.54753112792969}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543270.1652672, 'imu': 85.54743194580078}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543270.335263, 'imu': 85.54753112792969}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 157.7711144427786, 'time': 1645543270.505214, 'imu': 85.5475845336914}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 290.7046476761619, 'time': 1645543270.6752422, 'imu': 85.54766082763672}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543270.8452456, 'imu': 85.54764556884766}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543271.015254, 'imu': 85.54753112792969}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543271.185362, 'imu': 85.54755401611328}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543271.365378, 'imu': 85.54750061035156}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543271.5351796, 'imu': 85.5475082397461}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543271.7051823, 'imu': 85.5475845336914}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543271.8752177, 'imu': 85.54753875732422}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543272.0451665, 'imu': 85.54754638671875}
{'lf': 750.6958250497017, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543272.2153935, 'imu': 85.54766845703125}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543272.3852713, 'imu': 85.54747772216797}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543272.555192, 'imu': 85.5475845336914}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543272.725198, 'imu': 85.54764556884766}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543272.8952148, 'imu': 85.54779815673828}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543273.0655189, 'imu': 85.54791259765625}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 683.5294117647059, 'lb': 1016.6166916541729, 'time': 1645543273.235337, 'imu': 85.54778289794922}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543273.4051416, 'imu': 85.54771423339844}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543273.5751467, 'imu': 85.54763793945312}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543273.74516, 'imu': 85.54757690429688}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 683.5294117647059, 'lb': 1016.6166916541729, 'time': 1645543273.9151757, 'imu': 85.54766845703125}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 683.5294117647059, 'lb': 1016.6166916541729, 'time': 1645543274.085244, 'imu': 85.54776000976562}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543274.255198, 'imu': 85.54776000976562}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543274.4251766, 'imu': 85.5478515625}
